,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
0,Беспроводная тату машинка EZ P3 Adjustable 6 Stroke green,https://tatu-shop.ru/products/ez-p3-adjustable-green,11480,https://i.siteapi.org/GTie5WQScM1p54kqACaEiHYHEf8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/6c6tse7zuskkgw4k8kg48c4cwcsw8w,228 г,3-5 часов,,,,5-12 V,,авиационный алюминий,,EZ Custom made Swiss / 10000 об/мин,,6 месяцев,,tatu-shop
1,Беспроводная тату машинка BRONC SHORT-X Wireless Pen Black,https://tatu-shop.ru/products/short-x-black,10580,https://i.siteapi.org/rW_Fk5YxDxw6mQT3yos8iqYClG4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/kj7j5tln7zkoo0g4w8ckc8og4soc8o,166 г,до 7 часов,2 часа,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,4-12 V,BRONC SHORT-X,Авиационный алюминий с защитным покрытием,,DC Swiss Motor - 11000 об/мин,,6 месяцев,,tatu-shop
2,Машинка для перманентного макияжа и мини тату WTE Universal Princess V4 Pro & WTE Power Rca,https://tatu-shop.ru/products/wte-universal-v4-pro-power,36200,https://i.siteapi.org/Hr0n1bUyxhC9kq3BIO3_IGTaksI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/tftxgx69v280w4csg4g8w0g448w0w8,52 г,до 5 часов,,,1300 мАч,,WTE POWER RCA,анодированный алюминий,,,WTE Professional,,,tatu-shop
3,Беспроводная тату машинка Yilong Max S-70 Wireless Pen Gold,https://tatu-shop.ru/products/yilong-max-s-70-gold,5990,https://i.siteapi.org/JzFaweheZrYd_joJ2Euq0JkG360=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sqpdcl0ckrkg8swkskscko0cscw408,198г,до 6 часов,,от 0 до 4,,5-12V,Yilong Max S-70,авиационный алюминий,,Vertical disk bearing motor,Yilong Tattoo,,11000 об,tatu-shop
4,Беспроводная машинка для перманентного макияжа INKin Polar PMU Silver,https://tatu-shop.ru/products/polar-pmu-silver,8990,https://i.siteapi.org/r71DtO6PDesbKeCoWo_kYjT-LKE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/a60o0v9ned4wck0gws488g88c4k84g,73г,,"1,5 ч","0 - 3,5 мм",,5 - 10V,INKin Polar Pmu,авиационный алюминий,,,INKin - EZ Tattoo,6 месяцев,,tatu-shop
5,Беспроводная тату машинка DragoArt D-T2 Wireless Tattoo Pen Red,https://tatu-shop.ru/products/dragoart--d-t2-red,7490,https://i.siteapi.org/EFXWuXwVrN3IruDKIheA705uMBI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/c021g31g5r4kcoww8gck40s0sog8ko,,4 - 6 часов,,от 0 до 4,,4-12V,DragoArt D-T2 Wireless Tattoo Pen,авиационный алюминий,,Brushless Motor 12V-10000 об,DragoArt Tattoo,,,tatu-shop
6,Беспроводная машинка для тату и татуажа Cobra Magi P9 Multi-Mode Stroke 3.0mm Rose Gold,https://tatu-shop.ru/products/magi-p9-rose-gold,7990,https://i.siteapi.org/iapDx8d0T5w_1cCT7r-2AAaAyDs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8gnc4tbmvv48ko4goc0g4goso488o8,82 гр,до 4 часов,1 час,,,2,Cobra Magi P9 Multi-Mode,Авиационный алюминий,,,Cobra Tattoo,,,tatu-shop
7,Роторная тату машинка DragoArt Cavalier Blue,https://tatu-shop.ru/products/cavalier-blue,2760,https://i.siteapi.org/7ACbZQhfjpgzFTGEx41Dl_Lexbk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mls4qik3uo00kgwosgs08o8wogwwsg,140 гр,,,,,5 - 12 V 10000 об/мин,DragoArt Cavalier,авиационный алюминий,,Тайвань (Premium Motor),DragoArt Tattoo,,,tatu-shop
8,Беспроводная тату машинка EZ P3 Pro 6 Strokes 2 Power Gloss Gray,https://tatu-shop.ru/products/ez--p3-pro-2-power-gloss-gray,15990,https://i.siteapi.org/ItHqhzYzfDo5Kehiav3Q2tJ7HZk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/q0fed0mvsogs4cksgscskk4c0c4g8w,247 г,до 5 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,6 месяцев,,tatu-shop
9,Беспроводная тату машинка EQUALIZER WIRELESS NEUTRON ROTARY,https://tatu-shop.ru/products/equalizer-wireless-neutron,53000,https://i.siteapi.org/92Yw7TSFNKOSTIbhDYoFjFSMWx8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9g1i97f1c7k8wkkogcs4coogwck8gs,170 г (без батареек),до 8 часов на одном заряде,2 часа,"3,5 мм (прямой привод)",,,Equalizer Wireless Neutron,,,,,,,tatu-shop
10,Беспроводная тату машинка MAST Tour Y22 Pro Wireless Bluetooth Verison Black,https://tatu-shop.ru/products/tour-y22-pro-black,11550,https://i.siteapi.org/dtMQN5C0YarMBi5QAL60eM3Tq5g=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/98kc65ku9ssg08g8kcgkcgs840kcws,126 г,до 6 часов,,"0-3,5 мм",1300 mA/ч,2-12V,MAST Tour Y22 Pro,Авиационный алюминий,,Mast Special Edition Mcore-P 10000 об/мин,,6 месяцев,,tatu-shop
11,Роторная тату машинка DragoArt Blade Gen II Silver,https://tatu-shop.ru/products/blade-gen-ii-silver,2990,https://i.siteapi.org/bKXB9U5P7kaiNfFwFpm3uW0o-1M=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/7v4i7jw8gu4gsc4w0o8c0og4s888sg,138 гр,,,,,5 - 12 V 10000 об/мин,DragoArt Blade Gen II,авиационный алюминий,,Тайвань (Premium Motor),DragoArt Tattoo,,,tatu-shop
12,Беспроводная тату машинка Yilong Y15 Battery Tattoo Pen Coral Red,https://tatu-shop.ru/products/yilong-y-15-coral-red,6990,https://i.siteapi.org/PmDnkqokSOakgQG717V6wDxTvs8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/5352jrb83ag48888gkkwoko8oc4gk4,142 г,до 8 часов,,0-4 мм,,4-12V,Yilong Y15,Авиационный алюминий,,Brush Coreless Motor 12V/11000 об,,,,tatu-shop
13,Роторная тату машинка Mast FLEX WQ386,https://tatu-shop.ru/products/mast--flex-wq386,6430,https://i.siteapi.org/Ue34xfefeEtCRtmKyDBLvQc3I8w=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/o7ipyut176880o8ggkcsgo0gkssskw,150 г,,,,,от 6 до 8,,авиационный алюминий,,5 Ватт 8V - 11000 об/мин,DragonHawk,6 месяцев,,tatu-shop
14,Беспроводная тату машинка Yilong Max Pro Gold,https://tatu-shop.ru/products/yilong-max-pro--gold,8560,https://i.siteapi.org/km8r3MDNhbFmJ6EhjQKC32WdYJY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9np0rvsbn3swwg88wksw8k4kwko8sk,229 г,6-10 часов,2 часа,,,4-12 V,,авиационный алюминий,,Бесщëточный двигатель 11000 об/мин,,,,tatu-shop
15,Беспроводная машинка для тату и татуажа Cobra Magi P9 Multi-Mode Stroke 3.0mm X 2Power Blue,https://tatu-shop.ru/products/magi-p9-2power-blue,9990,https://i.siteapi.org/AvNFbmXKcJOifKeT8d-iugemvhc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/fv3w8s6ccbsoo8kg4s0wc008ow48ww,82 гр,до 4 часов,1 час,,,2,Cobra Magi P9 Multi-Mode,Авиационный алюминий,,,Cobra Tattoo,,,tatu-shop
16,Роторная тату машинка Dragon Small-L5,https://tatu-shop.ru/products/small-l--5,2990,https://i.siteapi.org/D0_-pW_LIJWCwVHYX1Jc-nWZu_4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jqyelzle01cok0swcwcwowwg0kw0k8,120 г,,,,,,,,,Тайвань,Solong Tattoo,,,tatu-shop
17,Беспроводная тату машинка MAST Archer 2 Max Bluetooth Version Grey,https://tatu-shop.ru/products/archer-2-max-bluetooth-grey,9950,https://i.siteapi.org/U6ImFy1aAlKLNge6QyMMlOUgyZY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/c43l406fxa80k04kwwc8s4o0oswgg8,210 г,до 8 часов,,"от 0 до 4,5 мм",2000 mA/ч,4-12V,MAST Archer 2 Max Bluetooth Version,Авиационный алюминий,,Brushless Motor M-core - Бесщеточный двигатель 12V/10000 об/мин,MAST (DragonHawk),6 месяцев,,tatu-shop
18,Роторная тату машинка Pen Cobra Cometa Black,https://tatu-shop.ru/products/pen-cobra-cometa-black,3195,https://i.siteapi.org/kZ1ecs-NG7JqUt1LCHR7b7TuZrk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/33srdw8rlxescgwk0000000k4gck0s,138 гр,,,,,6 - 9 V,,авиационный алюминий,,Тайвань,Cobra Tattoo,,,tatu-shop
19,Роторная тату машинка Rocket Mini Pen & Wireless Battery red,https://tatu-shop.ru/products/rocket-mini-wireless-battery-red,5690,https://i.siteapi.org/HTkk_Gx3Um6D6x4FRfY8r-_4kTk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/htm1vazfz6048wsg40c4sgsscw8g0w,,,,,,,,,,,,,,tatu-shop
20,Роторная тату машинка EZ Avant Flex Soft Hard red,https://tatu-shop.ru/products/ez-avant-flex-soft-hard-red,7350,https://i.siteapi.org/WiD8WVQLyrFhjSvyLWBEpipuPB8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2ycsmdaei4sgow0go4c4ss448ksw4k,159 г,,,,,,,авиационный алюминий,,Coreless Motor - 12В / 9000 об/мин,,6 месяцев,,tatu-shop
21,Роторная тату машинка NB Needle Bee Wireless RTM-1003 black,https://tatu-shop.ru/products/dragonhawk-needle-bee-wireless-black,3490,https://i.siteapi.org/bL0fybOgYZQ2AMvWtC-SRGXKLIM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/da04pk6dkw0080scgogsk0wwkswgk4,50 г,,,,,5-8 V,,авиационный алюминий,,Япония 10000 об/мин,NB Needle Bee Tattoo,,,tatu-shop
22,Беспроводная машинка для татуажа AVA Soulnova Flora E5 PMU Stroke 2.0-3.2mm Black,https://tatu-shop.ru/products/soulnova-flora-e5-black,15380,https://i.siteapi.org/NOQppqQBYjfmJ9hXhX6MfUjkOLU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/p9p6vl104q8s448k8wcgcw8gkcc4s8,111 г,3-7 часов,2 часа,,,"4,5-12 V",AVA Soulnova Flora E5 PMU,авиационный алюминий,5W,AVA motor - 9000 об/мин,AVA TATTOO MACHINE,6 месяцев,,tatu-shop
23,Беспроводная тату машинка - MAST Amy With 4MM Stroke Red,https://tatu-shop.ru/products/mast-amy-4-stroke-red,13990,https://i.siteapi.org/ZBvdQ9rDx70ExBOMpCnZd1vKYa0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/q3cdbgji3nk0gk088kg48o0k480cko,115 г,до 3 часов,,0-4 мм,,4-12V,MAST Amy,Алюминий,,Mast Special Edition Coreless Motor 9V/10400 об,,6 месяцев,,tatu-shop
24,Роторная тату машинка EGO Switch Black,https://tatu-shop.ru/products/ego-switch--black,6930,https://i.siteapi.org/KtoRO4X0Oy89NxbYx1qzQry83aY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sjp6pdanbr44wsokg4cksco400g8wc,130 гр,,,,,,,,,Япония 8V-9000 об/мин,,6 месяцев,,tatu-shop
25,Беспроводная тату машинка BRONC SHORT-X Wireless Pen Blue,https://tatu-shop.ru/products/short-x-blue,10580,https://i.siteapi.org/sCP47LVFUb18tPtHJngP24lfZDc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mtx4knebkf4gss4g4kkgsk44scs0os,166 г,до 7 часов,2 часа,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,4-12 V,BRONC SHORT-X,Авиационный алюминий с защитным покрытием,,DC Swiss Motor - 11000 об/мин,,6 месяцев,,tatu-shop
26,Роторная беспроводная тату машинка EZ Portex Gen2 Versatile 2 Power Red,https://tatu-shop.ru/products/ez-gen2-2power--red,13340,https://i.siteapi.org/8lVA4Vql_8iOuyl8Lc6va0jqyEI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/py6kcik531w8s4044okgsc8c0sssws,176 г / 196 г (с блоком и без),до 5 часов,2 часа,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,5-12 V,EZ Portex Gen2 Versatile,авиационный алюминий с защитным покрытием,,,EZ Tattoo,6 месяцев,,tatu-shop
27,Беспроводная тату машинка Dragonhawk L3 Wireless Tattoo Gun 7 Strokes Red,https://tatu-shop.ru/products/tattoo-machine-dragonhawk-l3-red,13700,https://i.siteapi.org/im-35HzGfnoJSupFTpy_Gkpp7TU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jp8vycbend44s484wg8kkoc00okcgs,222 г,до 7 часов,2 часа,,,4-12 V,Dragonhawk L3,Авиационный алюминий с защитным покрытием,,Powerful Motor MCORE 8V / 6500 об/мин,,6 месяцев,,tatu-shop
28,Беспроводная тату машинка Dragonhawk X8 Tunable Frequency 4mm Stroke Pink,https://tatu-shop.ru/products/dragonhawk-x8-tunable-pink,11800,https://i.siteapi.org/clmWJXF0GS8wTLvLTS-lGskY9Fk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/gns361mxqp4oos0w448so0g0sk8o4k,144г,до 3 часов,2 часа,,,,,авиационный алюминий,,Brushless motor - бесщеточный двигатель,,6 месяцев,,tatu-shop
29,Машинка для перманентного макияжа и мини тату WTE Universal Princess V4 Pro & RCA корд WTE Premium,https://tatu-shop.ru/products/wte-universal-v4-pro-cord-premium,36750,https://i.siteapi.org/qGj0CPR4J6RO_KE4NR61KOysvNA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/r1ikfyijs1wgw8so04w4oswoc8g8ss,90 гр,,,,,,,,,,WTE (Россия),,,tatu-shop
30,Беспроводная тату машинка EZ P3 Pro Turbo 2.0 X 2Power Black,https://tatu-shop.ru/products/tattoo-p3-pro-turbo-2power-black,17990,https://i.siteapi.org/cnV5zBNKDg3d-YnJivdDtf83o7w=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/a75jn7ylakw8c4wkcwcg0k8s488o0s,195 г,до 5 часов,2 часа,,1600 mA/ч,4-12 V,,Авиационный алюминий с защитным покрытием,,Upgraded EZ Customized External Rotor Brushless Motor - 12V/11000 об/мин,,6 месяцев,,tatu-shop
31,Роторная тату машинка Mast Magi PM Pink,https://tatu-shop.ru/products/mast-magi--pm-pink,6380,https://i.siteapi.org/ZOCJLPsFtFhnlje4a5g97-Vh7Cg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/gkmbfr1s3jwc4s480gs0swwkk84cso,91 г,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,5 - 9 V,Mast Magi,алюминий,,Япония 12В/12000 об,DragonHawk,6 месяцев,,tatu-shop
32,Беспроводная тату машинка MAST Saber Wireless Black,https://tatu-shop.ru/products/pen-mast-saber-black,14450,https://i.siteapi.org/_tXI5cvdZSwxkHmSJ5Vn2wcKYfk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qs19x68v8w0w44koco44ok0448cgcc,189 г,до 8 часов,,"0-4,5 мм (зависит от фирмы картриджей)",,5-10V,MAST Saber Wireless,Алюминий,,Япония 10V-8750 об/мин,,6 месяцев,,tatu-shop
33,Машинка для перманентного макияжа и мини тату WTE Universal Princess V4 Pro,https://tatu-shop.ru/products/wte-v4-pro,29950,https://i.siteapi.org/N7z1ztM5Jmljby0OeoWcG1qY4oQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3qsrt7mvibcwk8og08ksg840gkgoc4,,,,,,,,,,,,,,tatu-shop
34,Беспроводная тату машинка Ambition VIBE-2 Strokes 3.5 - 4.0mm Black,https://tatu-shop.ru/products/vibe-2,13950,https://i.siteapi.org/VXJaSmbSdFmQNE5XBZ1ObZFtKLs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/hb35u25kc288wgsoo88gksgs8s8kkc,166 гр,5-6 часов,2 часа,,,4-12V,Ambition VIBE-2,Авиационный алюминий,,Ambition Brushless Motor 12V/10000 об/мин,Ambition Tattoo,6 месяцев,,tatu-shop
35,Беспроводная тату машинка - CNC X-WE Wireless Tattoo Pen,https://tatu-shop.ru/products/cnc-pen-x-we,11480,https://i.siteapi.org/TSEMGPp6fKHJUD2BCSA6AlU6LVA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/5ild4f9jblkwkg4gwg0sww0gs8ow88,,от 3 часов до 9 часов по результатам тестов,,,,,,Авиационный алюминий,,DC-motor Германия 10060 rpm,CNC Tattoo,6 месяцев,,tatu-shop
36,Беспроводная тату машинка Big Wasp Meteorix PRO Adjustable Wireless Pen Black,https://tatu-shop.ru/products/meteorix-pro-black,12690,https://i.siteapi.org/-tyllnD5PbAR0l8f58T553Grc_w=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/6o5a8n1roccg808csog8oo80kowwkg,245 г,до 9 часов,,,,5-11 V,Big Wasp Meteorix PRO Adjustable Wireless Pen,авиационный алюминий,,DC-motor Swiss Motor - Швейцарский двигатель,,6 месяцев,,tatu-shop
37,Роторная тату машинка STIGMA EM-500,https://tatu-shop.ru/products/stigma--em-500,5990,https://i.siteapi.org/JsRuKx7hxj4XDbplJnTnpZuFakI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mjyeyi3338ggs48g0ss0cgk8w0gwcs,151 гр,,,,,7-12 V,STIGMA EM-500,Алюминий,,Япония - 8В - 8000 об/мин,Solong Tattoo,,,tatu-shop
38,Роторная тату машинка MAST Carbon red,https://tatu-shop.ru/products/mast-carbon--red,6980,https://i.siteapi.org/NbNsJBHmNIert5pgg166qevkQpU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ndukq4kawsg04sgk0csso44k0wg8kg,127 гр,,,,,7-9 V,,авиационный алюминий,,Япония 8V 8000 об/мин,DragonHawk,6 месяцев,,tatu-shop
39,Беспроводная тату машинка DragonHawk Elite Versatile,https://tatu-shop.ru/products/elite,10450,https://i.siteapi.org/TjQXwOe-Lhi5vXOXWGSkhXCHME0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8pu0y5yefcg8oocsowgoc4kocwsw8w,176 гр,до 3 часов,2 часа,,1000 mA/ч,4-12 V,DragonHawk Elite Versatile,Авиационный алюминий,,Coreless Motor 12V - 10000 об/мин,,6 месяцев,,tatu-shop
40,Роторная тату машинка Rocket Mini Pen & Wireless Battery black,https://tatu-shop.ru/products/rocket-mini-pen-rocket-power,5690,https://i.siteapi.org/-DRA9XydQD_5nVUJ179Vls7Jn8E=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/s9cfwz9rhmskk8skgok4o0gsss44o8,,,,,,,,,,,,,,tatu-shop
41,Беспроводная тату машинка BRONC X1 Wireless Pen 11 Stroke Black,https://tatu-shop.ru/products/bronc-x1-wireless-black,15720,https://i.siteapi.org/dVT9xjUQLzMFzxvP-fPEO-QMSbU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/7xbdi562h2os4w4socwgocosksg400,,,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,4-12 V,BRONC X1 Wireless Pen,Авиационный алюминий с защитным покрытием,,Швейцарский двигатель 12V / 11000 об/мин,,6 месяцев,,tatu-shop
42,Беспроводная тату машинка EZ Filter Freedom X 2 Power Red,https://tatu-shop.ru/products/tattoo-ez-filter-freedom-2power-red,6660,https://i.siteapi.org/rv_OWx16eyknjIrDaFEvj_SOCow=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mf0wrkrlntw48ksg0ckwkc8cg40g8w,200 г,,,"от 0 до 4,5 мм",,6 - 9 V,EZ Filter Freedom,авиационный алюминий,,Coreless Motor,EZ Tattoo,6 месяцев,,tatu-shop
43,Роторная тату машинка EQUALISER DROP PEN BLACK,https://tatu-shop.ru/products/drop-pen-equalizer-black,35150,https://i.siteapi.org/vaDmN5tZYTx5cozzfKdzqK54ziQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/na6vxsfxlpcg0ckswcwg000k08wgos,180 г,,,"от 0 до 4,5 мм",,,EQUALISER Drop Pen,Алюминий,,Equalizer 6W,,,,tatu-shop
44,Универсальная роторная тату машинка Vlad Blad Ultron 2 Classic Light Grip 25мм,https://tatu-shop.ru/products/vlad-blad-ultron-2,21770,https://i.siteapi.org/Nle9jK0MoLJikZYzvz_bAOIYGHs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/j0s5pjtp2rcw8cgg4wwcw8c8wscogs,120 г,,,,,,,,,"10,5 Вт",Vlad Blad (Россия),1 год,,tatu-shop
45,Беспроводная тату машинка AVA DUKE V3 Wireless Pen Purple,https://tatu-shop.ru/products/ava-machine-duke-v3-purple,7380,https://i.siteapi.org/qMrAVZVJUUQYs4ufEWeWyB4Nnls=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/7xogcx8ihao84ws0wksk4ok0sgw8sg,250 г,4-8 часов,2 часа,,,"4,5-12 V",,авиационный алюминий,,Carbon Brush Motor (3,AVA TATTOO MACHINE,6 месяцев,,tatu-shop
46,Беспроводная тату машинка AVA UNi-B Adjustable stroke 2.5-4.5mm Gold,https://tatu-shop.ru/products/ava-uni-b-adjustable-gold,15490,https://i.siteapi.org/_QZU1QKs49mReECj7_u6T1xQ4Fw=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/feg3dwecqj48gww008ockko4sko0sk,600 г,6-8 часов,2 часа,,,"4,5-12 V",AVA UNi-B,авиационный алюминий,5 W,AVA motor Metal Brush DC motor - 10500 об/мин,AVA TATTOO MACHINE,6 месяцев,,tatu-shop
47,Роторная тату машинка - Defenderr Diamond Stealth,https://tatu-shop.ru/products/defender-diamond--stealth,21500,https://i.siteapi.org/shqHeK1FyTf5JJ4aqEFdizPoseY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/a7ylp9wybywcggsgks40ogcwcg0ws4,92 г,,,,,8V,,авиационный алюминий,,Faulhaber (Германия) - 10000 об,,1 год,,tatu-shop
48,Беспроводная тату машинка EZ P3 Pro 6 Strokes Matte Gray,https://tatu-shop.ru/products/ez--p3-pro-matte-gray,12990,https://i.siteapi.org/rb1jDpczYcfVy-M-ZfMKR1Jk-8o=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/doz6zhmnc7c4gs4s8wco4o4okwco0o,247 г,до 5 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,6 месяцев,,tatu-shop
49,Беспроводная тату машинка EZ Portex Generation P2S 4mm Purple,https://tatu-shop.ru/products/ez-p2s-purple,6890,https://i.siteapi.org/fDBXG4FYxSuiNNCES0yHNM8A5Ko=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2rbevk194yucws4sws0ocg48c04swk,197 гр,до 6 часов,,,1800 mA/ч,5-12V,EZ Portex Generation P2S,Авиационный алюминий,,EZ Custom Swiss Motors (Швейцария),EZ Tattoo,6 месяцев,10800 об,tatu-shop
50,Беспроводная роторная тату машинка Big Wasp Arrow RTM-114 Wireless Pen Red,https://tatu-shop.ru/products/arrow-rtm-114-red,8590,https://i.siteapi.org/NklQFCHL3Z4LFtJcNXUl0Lar3SY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ixg2zfi9tz40gg8k8kokk4oc440wgg,240 г,от 7 до 9 часов,,от 0 до 4 мм,,"5,5-7,5 V",Big Wasp Arrow RTM-114 Wireless Pen,Авиационный алюминий,,DC-motor Swiss Motor - Швейцарский двигатель,,6 месяцев,,tatu-shop
51,Роторная тату машинка - Defenderr Iron S Stealth,https://tatu-shop.ru/products/defender-iron--s-stealth,9990,https://i.siteapi.org/zclgsIosjEhU0iUpKo5PsmUB5ww=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ar9s49gae2w404kco8g88wwokwg0w0,150 г,,,,,,,авиационный алюминий с защитным покрытием,,Faulhaber (Германия) - 8000 об,,1 год,,tatu-shop
52,Беспроводная тату машинка BRONC MAGIC Wireless Pen Tattoo & PMU Red,https://tatu-shop.ru/products/bronc--magic-red,13580,https://i.siteapi.org/-xa5EqrBEhJHnKlPtZrXr0dmjqg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/452nzpt0uncw4ws80oswkkk884w8gs,137 г,до 5 часов,,от 0 до 4 мм,,5,BRONC MAGIC wireless tattoo pen,Алюминий,,Швейцарский двигатель 12000 об/мин,,6 месяцев,,tatu-shop
53,Беспроводная тату машинка Ambition Soldier MAX Silver,https://tatu-shop.ru/products/tattoo-machine-ambition-soldier-max-silver,15990,https://i.siteapi.org/o9RUnTWkbnyc0iYTx7-xZrzedgY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4yzr18xa2zwo0gco8oo0w44g8o8wkw,201г,до 10 часов,,,,4-12V,Ambition Soldier Max,Авиационный алюминий,,Custom Coreless Motor 12V-13000 об/мин,Ambition Tattoo,6 месяцев,,tatu-shop
54,Машинка для перманентного макияжа и мини тату WTE Universal Princess V4 Pro & Эксцентрики 2.6 и 3.0мм,https://tatu-shop.ru/products/wte-universal-v4,34700,https://i.siteapi.org/rbVIsCAfmpqqqIoDaEZYYpmmPEc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3qpbpgn6dtc04c0488sg48cg0w8gsg,,,,,,,,,,,,,,tatu-shop
55,Беспроводная тату машинка INOX PRIME WIRELESS GOLD STROKE 4.2mm,https://tatu-shop.ru/products/inox-prime-gold,79950,https://i.siteapi.org/aKIDBqNNIHxBJbWmqYzlTlVMCFI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qz6nfuh8etwsc88ck4wgo4oookg448,217 гр,до 8 часов,до 3 часов,,,,INOX PRIME WIRELESS GOLD,Авиационный алюминий,,фирменный бесщеточный от KWADRON,,,,tatu-shop
